tabla;aislacion;temp_C;metodo;disposicion;seccion_mm2;I_cobre_A;I_aluminio_A;relacion_Al_Cu
Tabla 36;PVC;70;A1;3c;35;89.0;70.0;0.7865
Tabla 36;PVC;70;A2;2c;35;92.0;71.0;0.7717
Tabla 36;PVC;70;A2;3c;35;83.0;65.0;0.7831
Tabla 36;PVC;70;B1;2c;35;125.0;97.0;0.776
Tabla 36;PVC;70;B1;3c;35;110.0;86.0;0.7818
Tabla 36;PVC;70;B2;2c;35;111.0;86.0;0.7748
Tabla 36;PVC;70;B2;3c;35;99.0;77.0;0.7778
Tabla 36;PVC;70;C;2c;35;138.0;103.0;0.7464
Tabla 36;PVC;70;C;3c;35;119.0;90.0;0.7563
Tabla 36;PVC;70;D;2c;35;125.0;96.0;0.768
Tabla 36;PVC;70;D;3c;35;103.0;80.0;0.7767
Tabla 36;PVC;70;A1;2c;50;119.0;93.0;0.7815
Tabla 36;PVC;70;A1;3c;50;108.0;84.0;0.7778
Tabla 36;PVC;70;A2;2c;50;110.0;86.0;0.7818
Tabla 36;PVC;70;A2;3c;50;99.0;78.0;0.7879
Tabla 36;PVC;70;B1;2c;50;151.0;118.0;0.7815
Tabla 36;PVC;70;B1;3c;50;134.0;104.0;0.7761
Tabla 36;PVC;70;B2;2c;50;133.0;104.0;0.782
Tabla 36;PVC;70;B2;3c;50;118.0;92.0;0.7797
Tabla 36;PVC;70;C;2c;50;168.0;125.0;0.744
Tabla 36;PVC;70;C;3c;50;144.0;110.0;0.7639
Tabla 36;PVC;70;D;2c;50;148.0;113.0;0.7635
Tabla 36;PVC;70;D;3c;50;122.0;94.0;0.7705
Tabla 36;PVC;70;A1;2c;70;151.0;118.0;0.7815
Tabla 36;PVC;70;A1;3c;70;136.0;107.0;0.7868
Tabla 36;PVC;70;A2;2c;70;139.0;108.0;0.777
Tabla 36;PVC;70;A2;3c;70;125.0;98.0;0.784
Tabla 36;PVC;70;B1;2c;70;192.0;150.0;0.7812
Tabla 36;PVC;70;B1;3c;70;171.0;133.0;0.7778
Tabla 36;PVC;70;B2;2c;70;168.0;131.0;0.7798
Tabla 36;PVC;70;B2;3c;70;149.0;116.0;0.7785
Tabla 36;PVC;70;C;2c;70;213.0;160.0;0.7512
Tabla 36;PVC;70;C;3c;70;184.0;140.0;0.7609
Tabla 36;PVC;70;D;2c;70;183.0;140.0;0.765
Tabla 36;PVC;70;D;3c;70;151.0;117.0;0.7748
Tabla 36;PVC;70;A1;2c;95;182.0;142.0;0.7802
Tabla 36;PVC;70;A1;3c;95;164.0;129.0;0.7866
Tabla 36;PVC;70;A2;2c;95;167.0;130.0;0.7784
Tabla 36;PVC;70;A2;3c;95;150.0;118.0;0.7867
Tabla 36;PVC;70;B1;2c;95;232.0;181.0;0.7802
Tabla 36;PVC;70;B1;3c;95;207.0;161.0;0.7778
Tabla 36;PVC;70;B2;2c;95;201.0;157.0;0.7811
Tabla 36;PVC;70;B2;3c;95;179.0;139.0;0.7765
Tabla 36;PVC;70;C;2c;95;258.0;195.0;0.7558
Tabla 36;PVC;70;C;3c;95;223.0;170.0;0.7623
Tabla 36;PVC;70;D;2c;95;216.0;166.0;0.7685
Tabla 36;PVC;70;D;3c;95;179.0;138.0;0.7709
Tabla 36;PVC;70;A1;2c;120;210.0;164.0;0.781
Tabla 36;PVC;70;A1;3c;120;188.0;149.0;0.7926
Tabla 36;PVC;70;A2;2c;120;192.0;150.0;0.7812
Tabla 36;PVC;70;A2;3c;120;172.0;135.0;0.7849
Tabla 36;PVC;70;B1;2c;120;269.0;210.0;0.7807
Tabla 36;PVC;70;B1;3c;120;239.0;186.0;0.7782
Tabla 36;PVC;70;B2;2c;120;232.0;181.0;0.7802
Tabla 36;PVC;70;B2;3c;120;206.0;160.0;0.7767
Tabla 36;PVC;70;C;2c;120;299.0;226.0;0.7559
Tabla 36;PVC;70;C;3c;120;259.0;197.0;0.7606
Tabla 36;PVC;70;D;2c;120;246.0;189.0;0.7683
